서비스ID,서비스명,서비스분야,서비스목적요약,지원내용,선정기준,소관기관명,소관기관유형,부서명,사용자구분,신청기한,신청방법,접수기관,전화문의,상세조회URL,조회수,_매칭키워드
414000000456,귀농 청년농업인 주거비(월세) 지원,생활안정,연천군에 주소를 두고 귀농한 청년농업인으로 월임차료 최대 20씩 예산범위 안에서 지원함,"○ 사 업 명: 연천군 귀농 청년농업인 주거비 지원사업
  ○ 신청기간: 2026. 1월 ~ 12월(예산 소진시까지)
  ○ 지원대상
     - 19세 이상 39세 이하 2026년 기준 연령: 1986년~2006년생의 청년농업인으로 연천군에 주소를 두고 실제 임차주택에 거주하고 있는 자
     - ｢농어업경영체 육성법｣에 따라 관내에 농지를 두고 농업경영정보를 ‘경영주’로 등록한 “독립경영체”로 본인이 직접 영농에 종사하는 자
     - 무주택 청년으로 별도의 독립세대(세대주)를 구성한 자
  ○ 지원기준: 월세 임차료 최대 20만원/월",,경기도 연천군,시군구,농업개발과,개인,상시신청,방문신청,,농업개발과/031-839-4243,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/414000000456,297,"귀농,농업,영농,농지"
416000000107,"농가 소득배가 육성 지원(내재해형 비닐하우스 지원, 농산물 건조기 지원, 농산물 저온저장고 지원)",농림축산어업,"농업인에게 소득증대사업, 농업시설, 저온저장고 등 지원","○ 기후변화대응 내재해형 비닐하우스 농업시설지원
 - 가평군 관내에 거주하는 농업경영체를 등록한 농업인에게 330㎡ 크기의 내재해형 비닐하우스 1동 50% 지원

○농산물 저온저장고 지원
 - 가평군 관내에 거주하는 농업경영체를 등록한 원예·과채류·화훼 등을 재배하는 농업인에게 16.5㎡, 9.9㎡ 크기의 저온저장고 1동 50% 지원

○농산물 건조기 지원
 - 가평군 관내에 거주하는 농업경영체를 등록한 원예·과채류·화훼 등을 재배하는 농업인에게 1~3칸 규모의 농산물 건조기 1동 50% 지원",,경기도 가평군,시군구,농업과,개인,2025-01-15~2025-02-14,방문신청,,농업과/031-580-4757||농업과/031-580-4780,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/416000000107,1157,"농업,농가"
416000000110,과수계약재배 출하비 지원,농림축산어업,농업인 등에게 과수계약재배 출하비용 지원,"○ 생산자단체(APC등)와 계약물량의 50% 이상 출하약정을 통해 공동선별⸱포장⸱규격출하⸱판매 등을 실시하는 도내 과수생산 농업인

○ 공동으로 선별⸱포장⸱저온저장⸱규격출하⸱마케팅⸱판매 등에 소요되는 출하비용(과수농가 지급비용) 지원
 - 지원품목 : 배, 사과, 포도, 복숭아, 체리, 블루베리, 수박, 방울토마토(신규)

  - (기존품목) 배, 사과, 포도, 복숭아, 체리, 블루베리 500천원/톤
  - (신규진입품목) 수박, 방울토마토 300천원/톤",,경기도 가평군,시군구,농업과,개인||법인/시설/단체,2025-01-01~2025-08-31,방문신청,,농업정책과/031-580-4780,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/416000000110,1355,"농업,농가"
416000000112,친환경 유기질 비료 지원,농림축산어업,농업경영체를 등록한 농가에 친환경 유기질비료 지원,○ 가평군 관내에 주소를 두고 농업경영체를 등록한 농업인에게 농업경영체 등록정보에 등록된 농지를 대상으로 유기질비료 지원,,경기도 가평군,시군구,농업과,개인,2025-11-01~2025-12-31,방문신청,,농업정책과/031-580-4780,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/416000000112,1119,"농업,농가,농지"
417000000110,유기질비료 지원 및 팔당댐 상류지역 영농비 지원,농림축산어업,농가에 혼합유박 및 가축분퇴비 등 비료구입비 지원,○ 농업인을 대상으로 혼합유박 및 가축분퇴비 등 비료구입비 지원,,경기도 양평군,시군구,친환경농업과,개인,1~2월,방문신청,,친환경농업과/031-770-3629,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/417000000110,1066,"농업,영농,농가"
417000000118,친환경 인증 농가 농업생산자재 지원,농림축산어업,친환경인증농지를 보유한 농가에 유기농업자재 구입비 지원,"○ 친환경인증농가를 대상으로 영농에 필요한 유기농업자재 구입비 지원

 ※ 친환경인증 면적에 따라 보조금액 산정",,경기도 양평군,시군구,친환경농업과,개인,1~2월,방문신청,,친환경농업과/031-770-2413,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/417000000118,1026,"농업,영농,농가,농지"
417000000124,로컬푸드 직매장 및 농가 생산 및 가공 지원,농림축산어업,경기도 로컬푸드 납품농가 등에 생산 및 가공시설 지원,"○ 서비스 내용
 - 로컬푸드 직매장 및 납품농가를 대상으로 생산 및 가공시설 지원
 - 비닐하우스, 난방기, 다겹보온커튼,자동개폐시설, 이동식저류조, 저온저장고, 기타 생산시설 지원

○ 서비스 금액
 - 보조금 50% / 자부담 50%",,경기도 양평군,시군구,친환경농업과,개인,1~2월,방문신청,,친환경농업과/031-770-2338,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/417000000124,1285,"농업,농가"
418000000237,토종벌 사육농가 생산지원,농림축산어업,"토종벌 사육하는 농가 대상으로 벌통(개량형,재래형), 꿀 포장재 지원 
","○ 춘천시 관내에서 토종벌 사육하는 농가 대상으로 벌통(개량형,재래형), 꿀 포장재 지원 
    - 군당 10만원 한도 내 보조 50% 자부담 50%",,강원특별자치도 춘천시,시군구,축산과,개인,2025.12.31.~2026.1.30.,방문신청,,축산과/033-250-3037,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/418000000237,588,농가
418000000245,농기계 수리비 지원,농림축산어업,농업인 등에게 농기계 수리비 지원,"○ 농기계 수리비 지원 : 농기계 수리지정점 이용 농기계 수리(부품)비 지원

○ 농가당 연간 60만원 한도 지원(대형농기계 1기종당 60만원 이내, 중소형농기계 1기종당 15만원 이내)",,강원특별자치도 춘천시,시군구,농업지원과,개인,상시신청,방문신청,,농업지원과 농기계팀/033-250-4338,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/418000000245,882,"농업,농가"
418000000250,춘천시 청년농업인 영농정착 지원,생활안정,청년농업인에게 영농정착 지원금 지급,"○ 만 19세 이상 ~ 만 45세 이하, 독립경영 3년 이하의 영농종사자 및 예정자 대상, 최대 3년간 매월 100만원씩 영농정착 지원금 지원",,강원특별자치도 춘천시,시군구,농업정책과,개인,매년 5~6월,방문신청,,미래농업과/033-250-4738,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/418000000250,1080,"농업,영농"
422000000105,귀농인 농기구 및 수리비 지원,농림축산어업,귀농인에게 농기구 구입비 및 주택 신축수리비 지원,○ 귀농인에게 농기구 구입비 및 주택 신축수리비 지원,,강원특별자치도 태백시,시군구,농업과,개인,상시신청,방문신청,,태백시농업기술센터 농업정책팀/033-550-2117,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/422000000105,696,"귀농,농업"
422000000123,영농정착 시설 및 장비구입 지원,농림축산어업,청년농업인에게 영농시설 및 장비 지원,"○ 영농시설 및 장비 지원
 - 예) 방제용 드론, 하우스, 농기계 등",,강원특별자치도 태백시,시군구,농업과,개인,연초 사업공고 게재 시,방문신청,,농업기술센터/033-550-3149,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/422000000123,550,"농업,영농"
422000000131,지역소득작목 육성사업(건조기 지원),농림축산어업,"고추, 산채류 등 농산물 건조기 지원",○ 건조기 지원 10대,,강원특별자치도 태백시,시군구,농업과,개인,상시신청,방문신청,,태백농업기술센터/0335502420,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/422000000131,571,농업
422000000132,산지저온시설 지원,농림축산어업,"농산물 및 과수 저온저장고 지원(3평, 4평, 5평, 10평)",농산물 및 과수 저온저장고 지원,,강원특별자치도 태백시,시군구,농업과,개인,상시신청,방문신청,,태백시농업기술센터/033-550-2420,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/422000000132,566,농업
422000000133,여성농업인 복지바우처 지원,농림축산어업,"ㅇ 여성농업인 복지바우처 지원사업
 - 지원금액: 200천원(1인당)","ㅇ 여성농업인 복지바우처 지원사업
 - 지원금액: 200천원(1인당)",,강원특별자치도 태백시,시군구,농업과,개인,접수기관 별 상이,방문신청,,농업기술센터/033-550-2721,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/422000000133,1113,농업
422000000134,여성농업인 노동경감 지원,농림축산어업, 농작업 편이장비 지원(다용도 작업대 및 이동식 충천분무기 중 택1),"ㅇ 사업내용
- 농작업 편이장비 지원(다용도 작업대 및 이동식 충천분무기 중 택1)",,강원특별자치도 태백시,시군구,농업과,개인,접수기관 별 상이,방문신청,,농업기술센터/033-550-2721,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/422000000134,663,농업
422000000135,청년농업인 맞춤형 특화 지원,생활안정,"○ 생산유통, 제조가공, 체험관광, 브랜드개발 등 농업분야 창업기반 구축 지원","○ 생산유통, 제조가공, 체험관광, 브랜드개발 등 농업분야 창업기반 구축 지원",,강원특별자치도 태백시,시군구,농업과,개인,연초 사업공고 게재 시,방문신청,,태백시농업기술센터/550-3767,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/422000000135,641,농업
422000000141,귀농인정착지원금,농림축산어업,주택 수리,귀농가구 지원,,강원특별자치도 태백시,시군구,농업과,개인,상시신청,방문신청,,태백시 농업기술센터/033-550-2995,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/422000000141,779,"귀농,농업,농가"
423000000469,유기질비료 지원,농림축산어업,농업경영체에 유기질비료 지원,○ 유기질비료 구매비 일부 지원,,강원특별자치도 속초시,시군구,농업기술센터,개인,상시신청,방문신청,,농업기술센터/033-639-2910,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/423000000469,685,농업
423000000470,마을 특화작물 포장재 지원,농림축산어업,마을 특화작물 농가에 포장재 제작비용 지원,"○ 지역 마을특화작목 품목에 대해 유통비용 절감을 위한 포장재 제작비용 지원
 - 포장재 지원 

 ※ 보조 90%, 자부담 10%(추가 금액 발생시 자부담)",,강원특별자치도 속초시,시군구,농업기술센터,개인,상시신청,방문신청,,농업기술센터/033-639-2687,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/423000000470,1032,"농업,농가"
423000000472,농기계 종합보험 지원,농림축산어업,보험대상 농기계를 소유한 농업인에게 농기계종합보험 가입비 지원,"○ 보험대상 농기계를 소유한 농업인의 농기계종합보험 가입비 지원사업
 - 농작업 중 발생하는 농기계 사고로 인한 재해 피해를 보장하여 안정적인 영농수행 보장 보험가입비 90% 지원",,강원특별자치도 속초시,시군구,농업기술센터,개인,상시신청,방문신청,,농업기술센터/033-639-2907,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/423000000472,766,"농업,영농"
423000000479,농작물 재해보험 지원,생활안정,농업인을 대상으로 농작물재해보험 가입비 지원,"○ 자연재해로 인한 농작물 피해 경감을 위한 재해보험 가입비 지원 사업
 - 자연재해로 인한 농작물 피해 보상
 - 보험가입비 90% 지원",,강원특별자치도 속초시,시군구,농업기술센터,개인,상시신청,방문신청,,농업기술센터/033-639-2907,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/423000000479,919,"농업,농작물"
423000000488,농업인 안전보험 지원,농림축산어업,농업인에게 안전보험 가입비 지원,"○ 농업인 안전보험 가입비 지원 사업 : 농작업 중 발생한 재해 보상으로 사회안전망 제공, 보험가입비 90% 지원",,강원특별자치도 속초시,시군구,농업기술센터,개인,상시신청,방문신청,,농업기술센터/033-639-2893,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/423000000488,842,농업
424000000147,조류 인플루엔자 백신 지원,농림축산어업,산란계 사육농가에 조류인플루엔자 예방백신 지원,○ 산란계 사육농가 조류인플루엔자 예방백신 지원(자부담30%),,강원특별자치도 삼척시,시군구,축산과,개인,상시신청,방문신청,,축산과/033-570-3397,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/424000000147,581,농가
424000000170,대형농기계 수리비 지원,농림축산어업,대형 농기계를 소유하고 있는 농가에 부품비 지원,"○ 최대 40만원 부품비 농가 지원
○ 기종별 연 20만원 이하
   - 20만원 초과 부품대 및 공임비는 자부담
○ 농가당 2종 기종별 연1회 지원
○ 지원기종 : 4종(트랙터, 콤바인, 이앙기, 스키드로우더) 
  - 로터리날, 예취날, 분리침은 2년에 1회 지원
○ 지원 예외 품목 : 공임비, 타이어, 오일, 부동액 등",,강원특별자치도 삼척시,시군구,농촌지원과,개인,매년 1월부터 당해 확보한 예산소진시까지,방문신청,,농촌지원과/033-570-4261,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/424000000170,870,"농촌,농가"
425000000524,스마트팜 ICT융복합확산(시설보급-ICT시설보급),농림축산어업,"채소, 화훼, 특용작물을 재배하는 농가 등에게 복합 환경제어시스템 보급 지원","○ 지원대상
 - 시설원예 분야 ICT 융복합 시설장비 및 정보시스템

○ 지원형태
 - 국고재원 :  자유무역협정이행지원기금(FTA기금)
 - 지원형태: 국고보조 25%, 융자 25%, 지방비 30%, 자부담 20%",○ 사업시행지침,농림축산식품부,중앙행정기관,원예경영과,개인||법인/시설/단체,접수기관 별 상이,방문신청,시·군·구청,해당지역 시군구청/044-201-2259,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/425000000524,3978,농가
426000000113,토종벌 사육기반 조성지원,농림축산어업,"토봉 사육농가에 개량형 벌통, 저항성 토종벌 종봉 지원","○ 개량형 벌통 지원사업
 - 횡성군 관내 토봉농가에 토봉 벌통(재래형 사각 벌통, 개량형벌통) 구입 지원

○ 저항성 토종벌 종봉 지원사업
 - 횡성군 관내 토봉농가 및 신규 토봉사육 희망 농가에 낭충봉아 부패병 저항성 토종벌 종봉(여왕벌 및 벌통) 구입 지원",,강원특별자치도 횡성군,시군구,축산과,개인,매년 1월,방문신청,,축산과/033-340-2398,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000113,552,농가
426000000115,농작물 생육보조재 지원,농림축산어업,"농업인에게 토양 미생물 제재, 토양개량제,소독제, 규산 등의 구입비의 일부 지원 ","□농작물 생육보조재 지원
   ○ 횡성군에 주소를 둔 농업경영체 등록 농업인에게  토양개량용 미생물제재,소독제,석회,규산 등의  구입비의 최대 70%  지원
   ○최대 지원단가
     - 논:  42,000원/10a 의 70%(최대 10ha 이내)(2026년기준)
     - 밭:  50,000원/10a 의 70%(최대 7ha 이내)(2026년기준)

 ※ 지원내용 및 신청방법 등은 매년 사업 예산 및 추진일정에 따라 변경될 수 있음",,강원특별자치도 횡성군,시군구,농정과,개인,접수기관 별 상이,방문신청,,농정과/033-340-2365,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000115,1218,"농업,농작물"
426000000119,친환경농업 인증농가 유기농자재 지원,농림축산어업,친환경인증 농업인 등에게 유기농자재 지원,"○ 지원기준:  보조 50%, 자부담 50%
○ 지원품목
    - 친환경농산물 인증농가 유기농자재 지원: 유기인증 2,000천원/ha, 무농약인증 1,500천원/ha
    - 우렁이 입식: 1,000㎡당 6kg / 1kg당 8천원(친환경농업 실천농가도 지원가능)
    - 친환경농산물 인증농가 생분해 멀칭비닐: 1,000㎡당 1롤(1,000m 기준 / 150천원)",,강원특별자치도 횡성군,시군구,농정과,개인,2026.01.02~2026.01.30,방문신청,,농정과/033-340-2378,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000119,599,"농업,농가"
426000000121,시설원예작물 생산 지원,농림축산어업,시설원예 화분매개 수정벌 구입비 등 지원,"○ 시설원예 및 과수 재배농가의 수정벌 구입비 지원
 - 지원기준 : 구입비의 50% 지원",,강원특별자치도 횡성군,시군구,농정과,개인,접수기관 별 상이,방문신청,,농정과/033-340-2377,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000121,605,농가
426000000125,농산물 포장재 지원,농림축산어업,농업인 등에게 농산물 포장재 지원,"○ 연합마케팅 농산물 포장재지원
 - 사업내용 : 공선회, 수출농가, 작목반 등 연합마케팅 참여 농업인을 대상으로 출하농산물 포장재 지원
 - 지원조건 : 농협 계통출하 건에 한하여 지원

○ 공동브랜드 포장재 지원
 - 사업내용 : 공동브랜드(어사품) 사용승인을 득한 농업인 또는 업체 대상 포장재 디자인 개선 및 제작비 지원",,강원특별자치도 횡성군,시군구,농정과,개인,2026.01.01~2026.01.31,방문신청,,농정과/033-340-2369,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000125,777,"농업,농가"
426000000130,로컬푸드 활성화 지원,농림축산어업,농업인 등에게 판매용 또는 납품용 포장재 제작비의 50% 지원,○ 횡성군에 주소를 두고 농산물을 직접 생산하는 농업인 및 농업법인에게 다품목 소량 판매용 소포장재나 로컬푸드 매장 납품용 포장재 제작비의 50%를 지원,,강원특별자치도 횡성군,시군구,농정과,개인,상시신청,방문신청,,농정과/033-340-2370,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000130,968,농업
426000000131,농산물 직거래 활성화 지원,농림축산어업,농업인 등에게 택배비 일부 지원,"횡성군에 주소를 두고 농산물을 직접 생산하여 전자상거래 등 택배이용 직거래 판매 농업인 및 농업법인에게 택배비 일부 지원
※ 지원기준 : 건당 4,000원 기준 50% 지원",,강원특별자치도 횡성군,시군구,농정과,개인,접수기관 별 상이,방문신청,,농정과/033-340-2369,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000131,810,농업
426000000133,"고령, 장애, 여성농업인 영농작업비 지원",농림축산어업,"고령, 장애, 여성 농업인에게 영농작업비 지원","○ 고령, 장애, 여성농업인 영농작업비 지원
 - 영농 기초작업이 곤란한 고령인, 장애인, 여성농업인에게 영농작업비 지원
 - 지원기준: 실경작 농지 ㎡당 40원",,강원특별자치도 횡성군,시군구,농정과,개인,접수기관 별 상이,방문신청,,농정과/033-340-2363,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000133,944,"농업,영농,농지"
426000000134,가뭄대비 관수장비 지원,생활안정,농업인에게 관수 농자재 구입비 일정액 지원,○ 횡성군 주소를 둔 농업인에게 한해 대책에 필요한 관수 농자재 구입비의 일정액 지원,,강원특별자치도 횡성군,시군구,농정과,개인,접수기관 별 상이,방문신청,,농정과/033-340-2364,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000134,786,농업
426000000136,원예작물 소규모 산지유통기반 지원,농림축산어업,"농업인에게 저온저장고, 농산물건조기, 농산물세척기 지원","○ 저온저장고 지원 : 농가별 10㎡, 15㎡, 33㎡형 저온저장고 설치 지원(10㎡ 미만 지원 제외)

○ 다목적 농산물건조기 지원
 - 지원단가 : 1대당 공급가액 200만원 기준 50%(최대 1백만원) 보조

○ 농산물세척기 지원
 - 지원단가 : 1대당 공급가액 200만원 기준 50%(최대 1백만원) 보조",,강원특별자치도 횡성군,시군구,농정과,개인,2026.1.1.~2026.1.31.,방문신청,,농정과/033-340-2369,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/426000000136,530,"농업,농가"
427000000181,농업용 관리기 지원,농림축산어업,농업인에게 관리기 구입비 지원,○ 농업경영체 농업인에게 관리기 구입비 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년 1월초,방문신청,,소득지원과/033-370-7843,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000181,820,농업
427000000183,귀농인 영농 정착 지원,주거·자립,귀농인의 영농정착을 위한 영농시설 및 농기계 구입 지원,귀농인의 영농정착을 위한 영농시설 및 농기계 구입 지원,,강원특별자치도 영월군,시군구,자원육성과,개인,1~2월중,방문신청,,자원육성과/033-370-7883,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000183,742,"귀농,영농"
427000000184,농산물저온저장고설치지원,농림축산어업,농업인에게 농산물 저온저장고 지원,○ 농산물 저온저장고 지원,,강원특별자치도 영월군,시군구,농식품유통사업단,개인,매년도 1월 신청,방문신청,,농식품유통사업단/033-370-7948,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000184,552,농업
427000000185,비닐하우스 농자재 지원,농림축산어업,농업인 등에게 PO필름  지원,○ PO필름 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년도 1월 신청,방문신청,,농업기술센터 소득지원과 원예작물/033-370-7864,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000185,634,농업
427000000189,시설재배 생산성 향상 지원,농림축산어업,농업인 등에게 비닐하우스 내부 기자재 지원,○ 비닐하우스 내부 기자재 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년도 1월 신청,방문신청,,농업기술센터 소득지원과 원예작물/033-370-7864,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000189,546,농업
427000000190,연동 비닐하우스 설치 지원,농림축산어업,농업인 등에게 내재해형 비닐하우스 및 내부 기자재 지원,○ 내재해형 비닐하우스 및 내부 기자재,,강원특별자치도 영월군,시군구,소득지원과,개인,매년도 1월 신청,방문신청,,농업기술센터 소득지원과 원예작물/033-370-7864,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000190,799,농업
427000000194,축분 건조용 환풍기 지원,농림축산어업,한우사육농가에 환풍기 지원,○ 축사 환기 및 분뇨 건조용 환풍기 지원,,강원특별자치도 영월군,시군구,농업축산과,개인,1월 중,방문신청,,농업축산과/033-370-7829,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000194,547,"농업,농가"
427000000200,원예작물 품질향상 지원,농림축산어업,농업인 등에게 친환경 농자재 지원,○ 친환경 농자재 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년도 1월 신청,방문신청,,소득지원과/033-370-7863,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000200,608,농업
427000000204,시설하우스 ICT 보급,농림축산어업,농업인 등에게 시설하우스 ICT 시설 지원,○ 시설하우스 ICT 시설 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년도 1월 신청,방문신청,,농업기술센터 소득지원과 원예작물/033-370-7864,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000204,594,농업
427000000210,생분해성 멀칭필름 지원,농림축산어업,밭작물 재배농가에 환경친화적 멀칭비닐 지원,○ 밭작물 재배농가에  환경친화적(생분해성) 멀칭비닐 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년1월신청,방문신청,,소득지원과/033-370-7853,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000210,566,농가
427000000212,산채류 생산기반 조성사업,농림축산어업,산채 재배농업인 대상 관수시설 및 냉동고 등 지원,○ 산채류 관수시설 및 냉동고 등 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년1월신청,방문신청,,소득지원과/033-370-7862,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000212,556,농업
427000000214,시설하우스 연작장해 개선 지원,농림축산어업,농업인 등에게 토양 소독제 지원,○ 토양 소독제 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년도 1월 신청,방문신청,,소득지원과/033-370-7864,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000214,539,농업
427000000217,친환경 원예작물 천적활용 방제 지원,농림축산어업,무농약인증을 받은 원예작물 재배농가에 해충방제용 천적 구입비 지원,○ 친환경 인증을 받은 시설원예작물 재배농가에 해충 방제를 위한 천적 구입비 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,상시신청,방문신청,,소득지원과/033-370-7855,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000217,578,농가
427000000220,대형농기계 급유탱크 지원사업,농림축산어업,농업인에게 농업용 주유장비 지원,○ 농업경영체 농업인에게 농업용 주유장비 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년 1월초,방문신청,,소득지원과/033-370-7844,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000220,796,농업
427000000225,반려동물 등록제 지원,행정·안전,동물등록 수수료 지원,○ 반려동물 등록 대행업체 또는 동물병원에 등록 수수료 지원,,강원특별자치도 영월군,시군구,농업축산과,개인,상시신청,신청불필요,,농업축산과/033-370-7832,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000225,1271,농업
427000000227,가업승계농 영농기반조성 지원,농림축산어업,가업승계농에게 농기자재 및 시설 지원,"○ 승계농의 안정적인 영농기반 조성을 위한 농기자재 및 시설 지원(1개소 보조 28,000천원, 자부담 12,000천원)",,강원특별자치도 영월군,시군구,자원육성과,개인,매년 초,방문신청,,자원육성과/033-370-7875,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000227,722,영농
427000000228,주요 농산물 생산원가보장 지원,생활안정,"홍고추, 콩, 토마토  재배농가에 생산원가 보장 지원","○ 홍고추, 콩, 토마토  가격이 생산원가 이하로 하락하는 경우 차액 지원",,강원특별자치도 영월군,시군구,농식품유통사업단,개인,상시신청,방문신청,,농식품유통사업단/033-370-7934,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000228,742,농가
427000000230,여성농업인 농작업 편이장비 지원,생활안정,여성농업인을 위해 농작업 편이장비 구입 지원,"○ 농산물 운반대, 소포장기 등 농작업 편이장비 지원, 농가당 10만원~300만원(50% 보조)",,강원특별자치도 영월군,시군구,자원육성과,개인,매년 초,방문신청,,자원육성과/033-370-7873,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000230,633,"농업,농가"
427000000243,소규모 다목적 비닐하우스 지원,농림축산어업,농업인 등에게 소규모 단동 하우스 지원,○ 소규모 단동 하우스 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년도 1월 신청,방문신청,,농업기술센터 소득지원과 원예작물/033-370-7864,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000243,673,농업
427000000249,친환경 퇴비조성 수피 지원,농림축산어업,농업인에게 친환경퇴비조성 수피 지원,○ 농업경영체 농업인에게 친환경퇴비조성 수피 지원,,강원특별자치도 영월군,시군구,소득지원과,개인,매년 1월초,방문신청,,소득지원과/033-370-7842,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000249,539,농업
427000000251,인력절감형 방제호스릴 지원,농림축산어업,농업인에게 인력절감형 방제호스릴 지원,"○ 인력절감형 방제호스릴 지원, 1대 200만원(보조 100만원, 자부담 100만원)",,강원특별자치도 영월군,시군구,소득지원과,개인,매년 1월초,방문신청,,소득지원과 농산지원팀/033-370-7843,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000251,528,농업
427100000002,청년농업인 맞춤형 지원,농림축산어업,청년농업인 영농기반 조성 지원,"생산·가공·상품화 시설 등 영농 기반조성, 체험교육  시설 및 장비 설치 등",,강원특별자치도 영월군,시군구,자원육성과,개인,연초(1월),방문신청,,영월군 농업기술센터/033-370-7874,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427100000002,824,"농업,영농"
428000000103,GAP 인증농가 육성 지원,농림축산어업,"○ GAP인증(신규, 갱신)에 소요되는 심사비, 출장비, 사후관리비 등 지원","○ GAP인증(신규, 갱신)에 소요되는 심사비, 출장비, 사후관리비 등 지원",,강원특별자치도 평창군,시군구,농산물유통과,개인,상시신청,방문신청,,농산물유통과/033-330-1343,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/428000000103,814,농가
428000000113,가뭄대비 관수시설 지원,농림축산어업,관내 밭작물 재배 농업인 대상 가뭄대비 관수시설 지원(관정설치 및 관수장비 지원),"- 사업내용: 농업용수 공급을 위한 관정설치 및 관수장비(양수기, 대형물통) 지원
- 사업대상: 평창군 관내 밭작물 재배 농가
- 사업기간: (연도별) 1~12월",,강원특별자치도 평창군,시군구,농산물유통과,개인,연도별 1월 중(1. 1. ~ 1. 31.),방문신청,,농산물유통과/033-330-1383,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/428000000113,720,"농업,농가"
428000000117,군수 품질인증 농가 포장재 지원,농림축산어업,군수 품질인증 농가에 농산물 포장재 제작 지원,○ 군수 품질인증 농가에게 농산물 포장재 제작지원,,강원특별자치도 평창군,시군구,농산물유통과,개인||법인/시설/단체,2025.01.01~2025.01.31,방문신청,,농산물유통과/033-330-1336,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/428000000117,744,농가
